Fri Mar 20 22:41:17 2020,	 64.0,	 0.00000,	 8.20000,	 -0.41000,	 -0.04000,	 -1.10000,	 -3.33000,	 -1.55000,	0	
Fri Mar 20 22:41:18 2020,	 65.0,	 0.00000,	 8.00000,	 -0.38000,	 -0.11000,	 -1.60000,	 -4.92000,	 -0.87000,	0	
Fri Mar 20 22:41:18 2020,	 66.0,	 0.00000,	 8.13000,	 -0.21000,	 -0.03000,	 -2.65000,	 -4.31000,	 -1.29000,	0	
Fri Mar 20 22:41:18 2020,	 67.0,	 0.00000,	 8.19000,	 -0.28000,	 0.02000,	 -2.56000,	 -4.41000,	 -1.44000,	0	
Fri Mar 20 22:41:18 2020,	 68.0,	 0.00000,	 8.13000,	 -0.32000,	 -0.23000,	 -2.18000,	 -4.96000,	 -1.56000,	0	
Fri Mar 20 22:41:18 2020,	 69.0,	 0.00000,	 8.11000,	 -0.33000,	 -0.12000,	 -2.13000,	 -4.36000,	 -0.53000,	0	
Fri Mar 20 22:41:19 2020,	 70.0,	 0.00000,	 8.09000,	 -0.30000,	 -0.12000,	 -2.27000,	 -4.47000,	 -0.85000,	0	
Fri Mar 20 22:41:19 2020,	 71.0,	 0.00000,	 8.12000,	 -0.32000,	 -0.19000,	 -1.74000,	 -5.05000,	 -1.08000,	0	
Fri Mar 20 22:41:19 2020,	 72.0,	 0.00000,	 8.18000,	 -0.30000,	 -0.17000,	 -1.73000,	 -5.08000,	 -0.99000,	0	
Fri Mar 20 22:41:19 2020,	 73.0,	 0.00000,	 8.18000,	 -0.39000,	 -0.08000,	 -2.13000,	 -4.12000,	 -1.26000,	0	
Fri Mar 20 22:41:19 2020,	 74.0,	 0.00000,	 8.17000,	 -0.30000,	 -0.03000,	 -2.76000,	 -4.08000,	 -1.86000,	0	
Fri Mar 20 22:41:20 2020,	 75.0,	 0.00000,	 8.10000,	 -0.32000,	 -0.09000,	 -2.15000,	 -4.63000,	 -1.68000,	0	
Fri Mar 20 22:41:20 2020,	 76.0,	 0.00000,	 8.11000,	 -0.28000,	 -0.13000,	 -2.77000,	 -3.31000,	 -1.16000,	0	
Fri Mar 20 22:41:20 2020,	 77.0,	 0.00000,	 8.15000,	 -0.28000,	 -0.08000,	 -2.61000,	 -3.46000,	 -1.66000,	0	
Fri Mar 20 22:41:20 2020,	 78.0,	 0.00000,	 8.16000,	 -0.23000,	 -0.05000,	 -2.98000,	 -3.67000,	 -1.85000,	0	
Fri Mar 20 22:41:21 2020,	 79.0,	 0.00000,	 8.17000,	 -0.27000,	 -0.07000,	 -2.52000,	 -4.03000,	 -1.24000,	0	
Fri Mar 20 22:41:21 2020,	 80.0,	 0.00000,	 8.13000,	 -0.25000,	 -0.03000,	 -2.55000,	 -3.34000,	 -1.44000,	0	
