Sat Mar 21 11:20:57 2020,	 90.0,	 0.00000,	 8.13000,	 -0.04000,	 -0.62000,	 -2.80000,	 -5.17000,	 -2.51000,	0	
Sat Mar 21 11:20:57 2020,	 91.0,	 0.00000,	 8.13000,	 0.01000,	 -0.78000,	 -2.49000,	 -5.12000,	 -2.31000,	0	
Sat Mar 21 11:20:58 2020,	 92.0,	 0.00000,	 8.09000,	 -0.12000,	 -0.81000,	 -3.50000,	 -4.82000,	 -0.54000,	0	
Sat Mar 21 11:20:58 2020,	 93.0,	 0.00000,	 8.12000,	 -0.11000,	 -0.73000,	 -2.37000,	 -4.66000,	 -1.89000,	0	
Sat Mar 21 11:20:59 2020,	 94.0,	 0.00000,	 8.08000,	 -0.02000,	 -0.74000,	 -2.24000,	 -4.82000,	 -1.82000,	0	
Sat Mar 21 11:20:59 2020,	 95.0,	 0.00000,	 8.14000,	 -0.03000,	 -0.84000,	 -2.46000,	 -4.61000,	 -1.38000,	0	
Sat Mar 21 11:20:59 2020,	 96.0,	 0.00000,	 8.16000,	 -0.01000,	 -0.85000,	 -2.74000,	 -4.10000,	 -1.56000,	0	
Sat Mar 21 11:21:00 2020,	 97.0,	 0.00000,	 8.20000,	 0.04000,	 -0.80000,	 -1.56000,	 -5.15000,	 -1.30000,	0	
Sat Mar 21 11:21:00 2020,	 98.0,	 0.00000,	 8.19000,	 -0.01000,	 -0.79000,	 -2.12000,	 -4.28000,	 -1.11000,	0	
Sat Mar 21 11:21:01 2020,	 99.0,	 0.00000,	 8.17000,	 -0.02000,	 -0.86000,	 -2.50000,	 -3.87000,	 -1.73000,	0	
Sat Mar 21 11:21:01 2020,	 100.0,	 0.00000,	 8.08000,	 0.01000,	 -0.74000,	 -2.13000,	 -4.26000,	 -1.64000,	0	
Sat Mar 21 11:21:02 2020,	 101.0,	 0.00000,	 8.15000,	 0.05000,	 -0.83000,	 -2.98000,	 -3.92000,	 -1.37000,	0	
Sat Mar 21 11:21:02 2020,	 102.0,	 0.00000,	 8.14000,	 -0.01000,	 -0.73000,	 -2.57000,	 -4.12000,	 -1.64000,	0	
Sat Mar 21 11:21:02 2020,	 103.0,	 0.00000,	 8.14000,	 -0.01000,	 -0.85000,	 -2.15000,	 -4.32000,	 -1.69000,	0	
Sat Mar 21 11:21:03 2020,	 104.0,	 0.00000,	 8.13000,	 -0.03000,	 -0.76000,	 -2.58000,	 -3.85000,	 -1.28000,	0	
Sat Mar 21 11:21:03 2020,	 105.0,	 0.00000,	 8.09000,	 0.03000,	 -0.72000,	 -2.59000,	 -4.44000,	 -1.60000,	0	
Sat Mar 21 11:21:04 2020,	 106.0,	 0.00000,	 8.16000,	 0.04000,	 -0.77000,	 -2.82000,	 -4.08000,	 -1.60000,	0	
Sat Mar 21 11:21:04 2020,	 107.0,	 0.00000,	 8.16000,	 0.01000,	 -0.85000,	 -2.45000,	 -4.24000,	 -1.08000,	0	
Sat Mar 21 11:21:04 2020,	 108.0,	 0.00000,	 8.17000,	 0.05000,	 -0.73000,	 -2.22000,	 -4.46000,	 -1.21000,	0	
Sat Mar 21 11:21:05 2020,	 109.0,	 0.00000,	 8.13000,	 0.02000,	 -0.75000,	 -2.24000,	 -4.31000,	 -1.60000,	0	
Sat Mar 21 11:21:05 2020,	 110.0,	 0.00000,	 8.14000,	 0.01000,	 -0.75000,	 -2.56000,	 -4.40000,	 -1.63000,	0	
Sat Mar 21 11:21:06 2020,	 111.0,	 0.00000,	 8.15000,	 0.01000,	 -0.78000,	 -2.40000,	 -4.46000,	 -0.92000,	0	
Sat Mar 21 11:21:06 2020,	 112.0,	 0.00000,	 8.11000,	 0.02000,	 -0.87000,	 -3.86000,	 -5.90000,	 -1.26000,	0	
Sat Mar 21 11:21:07 2020,	 113.0,	 0.00000,	 8.11000,	 0.08000,	 -0.91000,	 -0.77000,	 -5.56000,	 -3.01000,	0	
Sat Mar 21 11:21:07 2020,	 114.0,	 0.00000,	 8.11000,	 0.35000,	 -0.91000,	 -2.79000,	 -5.43000,	 -2.49000,	0	
Sat Mar 21 11:21:07 2020,	 115.0,	 0.00000,	 8.15000,	 0.24000,	 -0.88000,	 -2.15000,	 -6.30000,	 -1.10000,	0	
Sat Mar 21 11:21:08 2020,	 116.0,	 0.00000,	 8.18000,	 0.20000,	 -1.15000,	 -2.47000,	 -4.62000,	 -0.88000,	0	
Sat Mar 21 11:21:08 2020,	 117.0,	 0.00000,	 8.12000,	 0.16000,	 -1.05000,	 -3.38000,	 -4.16000,	 -1.61000,	0	
Sat Mar 21 11:21:09 2020,	 118.0,	 0.00000,	 8.14000,	 0.17000,	 -1.10000,	 -2.10000,	 -4.66000,	 -1.43000,	0	
Sat Mar 21 11:21:09 2020,	 119.0,	 0.00000,	 8.07000,	 0.10000,	 -1.04000,	 -2.75000,	 -4.37000,	 -1.41000,	0	
Sat Mar 21 11:21:10 2020,	 120.0,	 0.00000,	 8.08000,	 0.19000,	 -1.07000,	 -2.32000,	 -4.49000,	 -1.46000,	0	
Sat Mar 21 11:21:10 2020,	 121.0,	 0.00000,	 8.12000,	 0.21000,	 -1.02000,	 -2.86000,	 -4.54000,	 -1.16000,	0	
Sat Mar 21 11:21:10 2020,	 122.0,	 0.00000,	 8.20000,	 0.15000,	 -0.95000,	 -2.38000,	 -0.16000,	 0.12000,	0	
Sat Mar 21 11:21:11 2020,	 123.0,	 0.00000,	 8.15000,	 0.19000,	 -0.83000,	 -2.58000,	 -4.24000,	 -1.42000,	0	
Sat Mar 21 11:21:11 2020,	 124.0,	 0.00000,	 8.12000,	 0.20000,	 -0.98000,	 -2.71000,	 -4.47000,	 -1.06000,	0	
Sat Mar 21 11:21:11 2020,	 125.0,	 0.00000,	 8.12000,	 0.16000,	 -0.83000,	 -2.04000,	 -4.25000,	 -1.20000,	0	
Sat Mar 21 11:21:12 2020,	 126.0,	 0.00000,	 8.16000,	 0.20000,	 -0.80000,	 -2.65000,	 -3.83000,	 -1.52000,	0	
Sat Mar 21 11:21:12 2020,	 127.0,	 0.00000,	 8.15000,	 0.16000,	 -0.88000,	 -2.40000,	 -4.36000,	 -1.44000,	0	
Sat Mar 21 11:21:13 2020,	 128.0,	 0.00000,	 8.14000,	 0.18000,	 -0.85000,	 -2.00000,	 -4.73000,	 -1.21000,	0	
Sat Mar 21 11:21:13 2020,	 129.0,	 0.00000,	 8.15000,	 0.20000,	 -0.87000,	 -1.73000,	 -4.77000,	 -2.14000,	0	
Sat Mar 21 11:21:14 2020,	 130.0,	 0.00000,	 8.14000,	 0.16000,	 -0.78000,	 -2.63000,	 -4.44000,	 -1.47000,	0	
Sat Mar 21 11:21:14 2020,	 131.0,	 0.00000,	 8.12000,	 0.22000,	 -0.85000,	 -2.38000,	 -4.66000,	 -1.11000,	0	
Sat Mar 21 11:21:14 2020,	 132.0,	 0.00000,	 8.18000,	 0.12000,	 -0.86000,	 -2.17000,	 -4.88000,	 -1.35000,	0	
Sat Mar 21 11:21:15 2020,	 133.0,	 0.00000,	 8.12000,	 0.18000,	 -0.92000,	 -2.47000,	 -4.15000,	 -1.08000,	0	
Sat Mar 21 11:21:15 2020,	 134.0,	 0.00000,	 8.16000,	 0.15000,	 -0.93000,	 -2.25000,	 -4.32000,	 -1.39000,	0	
Sat Mar 21 11:21:16 2020,	 135.0,	 0.00000,	 8.15000,	 0.17000,	 -0.93000,	 -2.08000,	 -4.86000,	 -1.35000,	0	
