Thu Mar 19 15:00:46 2020,	 79.0,	 0.00000,	 7.88000,	 -0.12000,	 -2.15000,	 -2.24000,	 -3.62000,	 -0.31000,	0	
Thu Mar 19 15:00:46 2020,	 80.0,	 0.00000,	 8.00000,	 -0.14000,	 -2.10000,	 -3.26000,	 -7.93000,	 -1.69000,	0	
Thu Mar 19 15:00:47 2020,	 81.0,	 0.00000,	 8.05000,	 -0.04000,	 -2.16000,	 -0.97000,	 -6.34000,	 -0.23000,	0	
Thu Mar 19 15:00:47 2020,	 82.0,	 0.00000,	 8.05000,	 -0.08000,	 -2.06000,	 -0.41000,	 -4.75000,	 0.89000,	0	
Thu Mar 19 15:00:47 2020,	 83.0,	 0.00000,	 8.03000,	 -0.02000,	 -2.07000,	 -2.98000,	 -2.35000,	 -2.60000,	0	
Thu Mar 19 15:00:47 2020,	 84.0,	 0.00000,	 8.05000,	 0.12000,	 -1.85000,	 -1.00000,	 -6.11000,	 -1.79000,	0	
Thu Mar 19 15:00:48 2020,	 85.0,	 0.00000,	 7.95000,	 -0.13000,	 -2.17000,	 -3.21000,	 -6.36000,	 -1.22000,	0	
Thu Mar 19 15:00:48 2020,	 86.0,	 0.00000,	 8.12000,	 -0.04000,	 -1.92000,	 -1.36000,	 -3.85000,	 -2.53000,	0	
Thu Mar 19 15:00:48 2020,	 87.0,	 0.00000,	 8.03000,	 -0.08000,	 -2.16000,	 -2.47000,	 -6.11000,	 -0.95000,	0	
Thu Mar 19 15:00:48 2020,	 88.0,	 0.00000,	 7.96000,	 -0.10000,	 -2.10000,	 -1.49000,	 -3.90000,	 -2.08000,	0	
Thu Mar 19 15:00:48 2020,	 89.0,	 0.00000,	 8.06000,	 -0.11000,	 -2.01000,	 -2.07000,	 -3.00000,	 -2.26000,	0	
Thu Mar 19 15:00:49 2020,	 90.0,	 0.00000,	 7.98000,	 -0.02000,	 -1.90000,	 -0.97000,	 -1.77000,	 -0.73000,	0	
Thu Mar 19 15:00:49 2020,	 91.0,	 0.00000,	 7.98000,	 -0.05000,	 -1.96000,	 -1.70000,	 -7.63000,	 2.69000,	0	
Thu Mar 19 15:00:49 2020,	 92.0,	 0.00000,	 7.90000,	 -0.09000,	 -2.01000,	 -2.32000,	 -2.49000,	 -3.40000,	0	
Thu Mar 19 15:00:49 2020,	 93.0,	 0.00000,	 7.94000,	 0.05000,	 -1.93000,	 -2.24000,	 -4.80000,	 -1.08000,	0	
Thu Mar 19 15:00:50 2020,	 94.0,	 0.00000,	 8.04000,	 0.06000,	 -1.91000,	 -2.30000,	 -4.45000,	 -0.61000,	0	
Thu Mar 19 15:00:50 2020,	 95.0,	 0.00000,	 7.96000,	 0.11000,	 -2.00000,	 -2.56000,	 -3.15000,	 -1.57000,	0	
Thu Mar 19 15:00:50 2020,	 96.0,	 0.00000,	 8.12000,	 0.01000,	 -1.86000,	 -2.32000,	 -1.94000,	 -2.56000,	0	
Thu Mar 19 15:00:50 2020,	 97.0,	 0.00000,	 8.18000,	 -0.00000,	 -1.75000,	 -1.02000,	 -5.56000,	 -1.28000,	0	
Thu Mar 19 15:00:50 2020,	 98.0,	 0.00000,	 8.06000,	 -0.15000,	 -1.95000,	 -2.08000,	 -7.55000,	 0.53000,	0	
Thu Mar 19 15:00:51 2020,	 99.0,	 0.00000,	 8.13000,	 -0.03000,	 -1.85000,	 -1.04000,	 -3.98000,	 -0.87000,	0	
Thu Mar 19 15:00:51 2020,	 100.0,	 0.00000,	 8.00000,	 -0.07000,	 -2.08000,	 -2.39000,	 -5.86000,	 -1.16000,	0	
Thu Mar 19 15:00:51 2020,	 101.0,	 0.00000,	 8.08000,	 0.01000,	 -1.91000,	 -1.99000,	 -4.09000,	 -1.38000,	0	
Thu Mar 19 15:00:51 2020,	 102.0,	 0.00000,	 8.01000,	 -0.06000,	 -1.90000,	 -2.81000,	 -2.37000,	 -2.88000,	0	
Thu Mar 19 15:00:51 2020,	 103.0,	 0.00000,	 8.02000,	 0.01000,	 -1.91000,	 -3.15000,	 -1.97000,	 -3.47000,	0	
Thu Mar 19 15:00:52 2020,	 104.0,	 0.00000,	 8.08000,	 -0.03000,	 -1.91000,	 -1.85000,	 -7.19000,	 -0.09000,	0	
Thu Mar 19 15:00:52 2020,	 105.0,	 0.00000,	 8.06000,	 -0.04000,	 -1.96000,	 -1.67000,	 -5.65000,	 -0.71000,	0	
Thu Mar 19 15:00:52 2020,	 106.0,	 0.00000,	 8.04000,	 -0.06000,	 -1.83000,	 -2.69000,	 -5.92000,	 -1.02000,	0	
Thu Mar 19 15:00:52 2020,	 107.0,	 0.00000,	 8.00000,	 -0.06000,	 -2.00000,	 -1.88000,	 -6.48000,	 0.64000,	0	
Thu Mar 19 15:00:53 2020,	 108.0,	 0.00000,	 8.09000,	 0.08000,	 -1.83000,	 -1.63000,	 -4.08000,	 -1.13000,	0	
Thu Mar 19 15:00:53 2020,	 109.0,	 0.00000,	 8.05000,	 0.01000,	 -1.91000,	 -2.83000,	 -3.31000,	 -1.95000,	0	
Thu Mar 19 15:00:53 2020,	 110.0,	 0.00000,	 8.03000,	 0.15000,	 -1.75000,	 -1.95000,	 -1.51000,	 -3.02000,	0	
Thu Mar 19 15:00:53 2020,	 111.0,	 0.00000,	 8.05000,	 -0.04000,	 -1.86000,	 -1.12000,	 -5.84000,	 0.26000,	0	
Thu Mar 19 15:00:53 2020,	 112.0,	 0.00000,	 8.04000,	 -0.01000,	 -1.85000,	 -1.31000,	 -3.99000,	 -1.75000,	0	
Thu Mar 19 15:00:54 2020,	 113.0,	 0.00000,	 7.98000,	 -0.02000,	 -1.79000,	 -1.97000,	 -4.93000,	 -1.00000,	0	
Thu Mar 19 15:00:54 2020,	 114.0,	 0.00000,	 7.99000,	 -0.13000,	 -1.79000,	 -2.58000,	 -3.74000,	 -1.29000,	0	
Thu Mar 19 15:00:54 2020,	 115.0,	 0.00000,	 8.08000,	 -0.07000,	 -1.81000,	 -2.45000,	 -3.76000,	 -1.65000,	0	
Thu Mar 19 15:01:36 2020,	 306.0,	 0.00000,	 8.05000,	 -1.27000,	 -0.82000,	 -0.09000,	 -5.98000,	 -0.27000,	0	
Thu Mar 19 15:01:36 2020,	 307.0,	 0.00000,	 8.02000,	 -1.19000,	 -1.06000,	 -4.34000,	 -6.88000,	 -3.37000,	0	
Thu Mar 19 15:01:36 2020,	 308.0,	 0.00000,	 8.11000,	 -1.18000,	 -0.90000,	 -1.94000,	 -9.56000,	 -1.77000,	0	
Thu Mar 19 15:01:36 2020,	 309.0,	 0.00000,	 8.02000,	 -1.29000,	 -1.12000,	 -1.43000,	 -5.18000,	 0.27000,	0	
Thu Mar 19 15:01:36 2020,	 310.0,	 0.00000,	 8.01000,	 -1.17000,	 -1.08000,	 0.21000,	 -8.51000,	 -4.79000,	0	
Thu Mar 19 15:01:37 2020,	 311.0,	 0.00000,	 8.10000,	 -1.04000,	 -1.05000,	 -2.44000,	 -4.01000,	 0.18000,	0	
Thu Mar 19 15:01:37 2020,	 312.0,	 0.00000,	 8.09000,	 -1.28000,	 -1.04000,	 -0.82000,	 -6.01000,	 -0.80000,	0	
